name,value
NP_001317629.1,TOP2B
NP_005900.2,MAP1B
NP_055680.3,NCAPD2
NP_005900.2,MAP1B
XP_016860227.1,RGPD3
XP_016859092.1,NA
NP_037423.2,CPSF1
NP_004230.2,TRIP11
NP_001278557.1,DICER1
NP_006624.2,NA
XP_016861618.1,DNAH1
NP_001934.2,DSG2
XP_006719021.1,NA
XP_005247411.1,NA
XP_016863417.1,NA
NP_055768.3,DIS3
NP_001675.3,ATP2B4
XP_005247411.1,NA
NP_005900.2,MAP1B
NP_056280.2,GEMIN5
XP_016874237.1,XPOT
NP_001316143.1,MIA2
NP_001271203.1,NA
NP_066997.3,CCAR2
NP_003650.1,AGPS
NP_001124437.1,SUN1
NP_066997.3,CCAR2
NP_631961.1,TAF15
NP_001026859.1,PLAA
XP_011523401.1,FKBP10
NP_006461.3,TRIM16
NP_002931.2,ABCE1
XP_011507705.1,NA
NP_004951.1,FUS
NP_003650.1,AGPS
XP_005268101.1,NA
XP_016881125.1,NA
XP_011536993.1,SPATS2
XP_005247870.2,NA
NP_001014437.1,CARS1
NP_112556.2,HNRNPAB
NP_066997.3,CCAR2
XP_011535844.1,FAM114A2
NP_848696.1,HM13
XP_016869378.1,NA
NP_001317160.1,NAP1L1
NP_001334819.1,TMX2
NP_542785.1,KRT72
NP_060831.2,AGPAT5
NP_004684.2,KRT75
NP_003642.3,YBX3
NP_001335169.1,PCBP3
NP_055545.1,MLEC
NP_789839.1,PSME3
NP_000156.1,GJA1
NP_003642.3,YBX3
NP_001203.1,C1QBP
NP_002800.2,PSMD3
NP_006701.1,COPS8
XP_011526998.1,MAPRE1
NP_001300870.1,RHOA
NP_006845.1,KDELR2
NP_000301.1,PPT1
NP_665734.1,MGST1
NP_115914.1,TUBB6
XP_016883528.1,NA
NP_001060.1,TUBB2A
NP_001435.1,FABP5
NP_001274.1,AP1S1
