studyPointers,Publication,URL
Spa - Huh7,"Farley et al. 2024, Chemical Communications",https://lipidinteractome.org/individualstudies/sf_2024_b
Sph - Huh7,"Farley et al. 2024, Chemical Communications",https://lipidinteractome.org/individualstudies/sf_2024_b
8-3 FA - Huh7,"Farley et al. 2024, ACS Chemical Biology",https://lipidinteractome.org/individualstudies/sf_2024
1-10 FA - Huh7,"Farley et al. 2024, ACS Chemical Biology",https://lipidinteractome.org/individualstudies/sf_2024
BF-NAPE - HeLa,"Chiu et al. 2025, ChemrXiv",https://lipidinteractome.org/individualstudies/dcc_2025
bf-GPI - HeLa,"Kundu et al. 2024, Chem Euro",https://lipidinteractome.org/individualstudies/sk_2024
PDAA - HeLa,"Yu et al. 2021, ACS Chem Bio",https://lipidinteractome.org/individualstudies/wy_2021
PA - HeLa - Membrane,"Thomas et al. 2025, Chemical Communications",https://lipidinteractome.org/individualstudies/at_2025
PE - HeLa - Membrane,"Thomas et al. 2025, Chemical Communications",https://lipidinteractome.org/individualstudies/at_2025
PA - HeLa - Cytosol,"Thomas et al. 2025, Chemical Communications",https://lipidinteractome.org/individualstudies/at_2025
PE - HeLa - Cytosol,"Thomas et al. 2025, Chemical Communications",https://lipidinteractome.org/individualstudies/at_2025
